id,count
0,81.34
1,222.67
2,70.24
4,27.97
5,69.01
10,120.53
11,201.01
12,327.5
15,34.89
17,121.67
18,306.56
23,257.64
25,104.97
26,39.58
31,202.46
39,163.55
40,27.26
41,181.04
42,361.06
43,156.82
51,215.75
52,88.6
54,15.35
60,144.12
61,143.73
62,117.74
63,28.09
65,115.73
66,113.79
68,147.14
71,74.13
80,30.52
82,74.12
94,131.28
98,272.57
101,30.96
102,132.29
107,114.97
112,235.05
113,73.04
115,63.93
116,121.77
120,156.18
121,84.74
122,336.74
132,188.6
143,91.45
147,70.65
150,19.06
151,88.35
152,239.83
153,92.98
155,168.96
156,87.47
159,190.64
161,134.56
163,45.14
177,174.78
186,13.25
188,18.55
190,83.25
191,76.66
192,262.65
195,314.99
200,149.2
209,318.3
210,14.78
211,231.09
214,125.5
215,26.64
218,105.44
219,34.23
222,145.38
225,15.35
228,320.13
236,223.14
241,37.54
242,161.23
243,229.83
245,19.23
247,249.6
251,123.14
252,79.14
253,80.83
254,85.2
258,322.86
260,65.8
261,176.88
265,115.31
266,271.66
267,297.77
269,161.53
270,74.75
275,103.32
278,35.84
279,79.91
286,87.76
287,28.38
288,222.09
289,147.41
293,17.4
294,160.05
297,45.45
302,119.86
303,65.94
304,71.63
307,105.17
309,17.03
311,177.93
312,128.68
314,171.5
315,238.15
319,162.02
322,120.72
323,74.35
325,122.68
327,242.43
330,35.96
332,196.65
333,16.1
338,103.42
341,103.22
345,183.11
348,119.87
349,45.98
350,117.24
352,64.96
355,15.01
356,223.77
358,67.94
363,130.86
369,152.6
371,19.49
372,142.76
375,307.3
380,134.89
388,44.75
391,138.32
392,269.27
393,377.04
394,205.69
396,27.22
401,38.1
407,109.61
409,86.36
410,119.98
416,109.73
418,121.49
420,146.51
421,224.6
422,123.2
424,292.88
428,352.53
429,202.28
431,160.32
435,10.09
439,112.1
441,11.75
447,95.71
449,144.26
451,140.42
452,16.34
454,204.52
458,211.96
463,126.74
467,14.27
470,234.01
471,153.25
474,286.76
478,16.06
483,125.23
484,131.4
485,85.43
486,136.64
491,101.24
494,98.17
495,239.67
497,210.89
499,164.27
515,119.27
518,214.46
